Sprint Name,Test Case Title,Test Assignee,Description,Mode,Priority,Type,Precondition,Test data,Steps,Expected Result,Actual Result
HeySales Studio> Elevator pitch Learners view ,TC0048 - Verify Video is Displayed at the Top for Video Pitch with Same Detailed Report Behavior,porsudar@paperflite.com,Validate video is Displayed at the Top for Video Pitch with Same Detailed Report Behavior,Manual,High,Functional,Learner completed pitch,NA,"1.Login as admin.
2.Navigate to the Video Pitch report screen.
3.Click on a completed learner from the learners list.
4.Click on the Video Recording option.
5.Observe the detailed report screen layout.
6.Verify the playback controls of the video.
","1.Admin user should be able to login successfully.
2.The Video Pitch report screen should render successfully.
3.Clicking on the completed learner should navigate to the detailed report screen.
4.The Video Recording option should be clickable and open successfully.
5.The recorded video should be displayed at the top of the screen.
6.The video player should display playback controls such as play, pause, seek bar, and duration.
",Video is displayed at the top for Video Pitch and detailed report behavior remains consistent.
HeySales Studio> Elevator pitch Learners view ,TC0049 - Verify Updating Simulation Does Not Affect Completed Learners and Reports,porsudar@paperflite.com,Validate Updating Simulation Settings Does Not Affect Completed Learners and Reports,Manual,High,Functional,Learner completed pitch,NA,"1.Login as admin.
2.Create a new simulation (Video/ Elevator Pitch) with defined time, pitch scenario, company, audience, type, and scorecard.
3.Assign the simulation to a learner.
4.Login as learner and complete the simulation.
5.Login back as admin.
6.Navigate to the simulation settings and update time limit, pitch scenario, company, audience, type, and scorecard.
7.Save the updated simulation.
8.Navigate to the completed learner’s detailed report screen.
9.Verify the report data of the completed learner.","1.Admin user should be able to login successfully.
2.The simulation should be created successfully with defined configurations.
3.The simulation should be assigned to the learner successfully.
4.Learner should be able to complete the simulation successfully.
5.Admin user should be able to login successfully.
6.The admin should be able to update the simulation successfully.
7.The updated simulation settings should be saved successfully.
8.The completed learner’s detailed report screen should render successfully.
9.The completed learner’s report data including score, breakdown, attempts, time spent, and ranking should remain unchanged and should not be affected by the updated simulation settings in both learners and admin report",Updating simulation does not affect completed learners’ data or reports.
HeySales Studio> Elevator pitch Learners view ,TC0050 - Verify Updated Simulation Settings Reflect for Untaken and Retaken Simulations,porsudar@paperflite.com,Validate Updated Simulation Settings Reflect for Untaken and Retaken Simulations,Manual,High,Functional,"1.Simulation should be published 
2.One more simulation should be completed",NA,"1.Login as admin.
2.Create a new simulation with defined time, pitch scenario, company, audience, type, and scorecard.
3.Assign the simulation to a learner.
4.Login as admin and update the simulation settings (time, pitch scenario, company, audience, type, scorecard).
5.Save the updated simulation details
6.Login as learner who has not yet taken the simulation.
7.Start the simulation.
8.Complete the simulation.
9.Login as admin and update the simulation settings (time, pitch scenario, company, audience, type, scorecard).
10.Retake the simulation (if already completed once before update).","1.Admin user should be able to login successfully.
2.The simulation should be created successfully with defined configurations.
3.The simulation should be assigned to the learner successfully.
4.The admin should be able to update the simulation settings successfully.
5.The updated simulation details should be saved successfully.
6.Learner should be able to login successfully.
7.The updated simulation configuration (time, pitch scenario, company, audience, type, scorecard) should be reflected before starting the simulation.
8.The learner should be able to complete the simulation with the updated configuration.
9.On retaking the simulation, the updated configuration should be applied and reflected accordingly but not to the previous attempts reports details ",Updated simulation settings reflect correctly for untaken and retaken simulations.
HeySales Studio> Elevator pitch Learners view ,TC0051 - Verify Simulation is Removed from List After Deletion,porsudar@paperflite.com,Validate Simulation is Removed from List After Deletion,Manual,High,Functional,1.Simulation should be completed,NA,"1.Login as admin.
2.Navigate to the Simulation / Elevator Pitch module.
3.Ensure a simulation is available in the list.
4.Click on the Delete option for the selected simulation.
5.Confirm the deletion in the confirmation popup.
6.Observe the simulation list.","1.Admin user should be able to login successfully.
2.The Simulation / Elevator Pitch module should render successfully.
3.The simulation should be visible in the list.
4.The Delete option should be clickable and display a confirmation popup.
5.Upon confirming deletion, the simulation should be deleted successfully.
6.The deleted simulation should no longer appear in the studio, explore, mycourses and manage courses",Simulation is removed from the list after deletion.
HeySales Studio> Elevator pitch Learners view ,TC0052 - Verify adding learners with specific due date,porsudar@paperflite.com,Validate Admin can assign learners with specific due date,Manual,High,Functional,Elevator Pitch simulation published,Future date,"1.Click on Add Learners.
2.Select Specific Due Date option.
3.Choose a future date from date picker.
4.Select learner.
5.Click Add.","1.Add Learners popup should open successfully.
2.Date picker should be displayed.
3.Past dates should be disabled and only future dates selectable.
4.Learner should be selected successfully.
5.Learner should be assigned with selected due date and default time 12:00 AM",Learners are assigned successfully with the selected specific due date.
HeySales Studio> Elevator pitch Learners view ,TC0053 - Verify adding learners with relative due date,porsudar@paperflite.com,Validate Admin can assign learners with relative due date,Manual,High,Functional,Elevator Pitch simulation published,,"1.Click on Add Learners.
2.Select Time from Assignment option.
3.Choose predefined value (e.g., 7 days).
4.Assign learner.","1.Add Learners popup should open successfully.
2.Dropdown should display options (1 day, 3 days,1 week, 2 weeks, 1 month, 2 months).
3.Due date should be auto-calculated correctly.
4.Learner should be assigned successfully with calculated due date.",Learners are assigned successfully with the calculated relative due date.
HeySales Studio> Elevator pitch Learners view ,TC0054 - Verify learner view – Not Started (Within Due Date),porsudar@paperflite.com,Validate due date metadata displayed correctly for not started simulation,Manual,Medium,Functional,Learner assigned with due date,NA,"1. Login as learner.
2. Navigate to My Courses.
3. Open Elevator Pitch simulation.","1. Learner should login successfully.
2. My courses screen should load successfully.
3. Start Call button, “Due on” date and remaining days should be displayed correctly.",Learner login was successful. Assigned Elevator Pitch simulation appeared in My Simulations/My Courses with status Not Started and due date displayed. Simulation was accessible and no overdue indicator was shown.
HeySales Studio> Elevator pitch Learners view ,TC0055 - Verify learner view – Overdue Simulation,porsudar@paperflite.com,Validate overdue metadata displayed after due date,Manual,Medium,Functional,Simulation due date passed,NA,"
1. Login as learner.
2. Navigate to My Courses.
3. Open Elevator Pitch simulation after due date.","1. Learner should login successfully.
2. My courses screen should load successfully.
3. Start Call button, Overdue label with due date should be displayed in pill and remaining days in the button",Learner login was successful. Simulation appeared with Overdue status once the due date passed. Overdue indicator and due date were displayed correctly in learner view.
HeySales Studio> Elevator pitch Learners view ,TC0056 - Verify completion before due date,porsudar@paperflite.com,Validate status when learner completes Elevator Pitch before due date,Manual,Medium,Functional,Assigned with future due date,NA,"1. Login as learner.
2. Navigate to My Courses.
3. Open Elevator Pitch.
4. Start and complete the simulation before due date.","1. Learner should login successfully.
2. Mycourses detail screen should open.
3. Learner should be able to start the simulation.
4. Simulation should be marked Completed in Learners List within due date.",Learner completed the Elevator Pitch simulation before the due date. Status was updated to Completed and no overdue indicator was shown. Completion time was recorded successfully.
HeySales Studio> Elevator pitch Learners view ,TC0057 - Verify completion after due date,porsudar@paperflite.com,Validate status when learner completes Elevator Pitch after due date,Manual,Medium,Functional,Assigned with due date,NA,"1. Login as learner.
2. Navigate to My Courses.
3. Open Elevator Pitch after due date.
4. Start and complete the simulation.","1. Learner should login successfully.
2. Mycourse detail screen should open.
3. Learner should be able to start the simulation even after due date.
4. Simulation should be marked Completed in Learners List after due date","Learner completed the simulation after the due date. Status was updated to Completed, and the system marked it as Completed after due date with overdue indication."
HeySales Studio> Elevator pitch Learners view ,TC0058 - Verify reminder email – 50% duration,porsudar@paperflite.com,Validate reminder email triggered at 50% duration,Manual,Medium,Functional,Assignment with 30-day duration,NA,"1. Assign Elevator Pitch with 30-day due date.
2. Wait until 50% duration (15 days).
3. Check learner email","1. Simulation should be assigned successfully.
2. System should reach 50% duration of assignment.
3. Reminder email should be triggered to learner.",Reminder email was successfully triggered when 50% of the due date duration elapsed. Email included simulation name and due date information.
HeySales Studio> Elevator pitch Learners view ,TC0059 - Verify assignment notification includes due date,porsudar@paperflite.com,Validate assignment email includes due date metadata,Manual,Medium,Functional,Assign simulation with due date,NA,"1. Assign Elevator Pitch simulation to learner.
2. Set due date.
3. Check learner email.","1. Simulation should be assigned successfully.
2. Due date should be saved correctly.
3. Assignment email should contain due date metadata.","Assignment notification email was successfully received by learner. Email included simulation title, assignment details, and due date information."
HeySales Studio> Elevator pitch Learners view ,TC0060 - Verify Learners list – Completed within due date (Green Hourglass),porsudar@paperflite.com,Validate green timely icon appears when learner completes before due date,Manual,Medium,Functional,Elevator Pitch assigned with due date,NA,"1. Assign simulation with due date.
2. Learner completes simulation before due date.
3. Admin opens Learners list.","1. Simulation should be assigned successfully.
2. Learner should complete simulation before due date.
3. Green hourglass icon should appear in learners list.","In the learners list, the learner who completed the simulation before the due date displayed Green Hourglass icon indicating completion within due date."
HeySales Studio> Elevator pitch Learners view ,TC0061 - Verify Learners list – Completed after due date (Red Hourglass),porsudar@paperflite.com,Validate red overdue icon appears when learner completes after due date,Manual,Medium,Functional,Elevator Pitch assigned with due date,NA,"1. Assign simulation with due date.
2. Learner completes simulation after due date.
3. Admin opens Learners list.","1. Simulation should be assigned successfully.
2. Learner should complete simulation after due date.
3. Red hourglass icon should appear in learners list.","In the learners list, the learner who completed the simulation after the due date displayed Red Hourglass icon indicating late completion."
HeySales Studio> Elevator pitch Learners view ,TC0062 - Verify Learners list – In Progress (Within Due Date),porsudar@paperflite.com,Validate due date and progress displayed correctly for in-progress learners,Manual,Medium,Functional,Assigned with future due date,NA,"1. Assign simulation with due date.
2. Learner starts simulation but does not complete.
3. Admin opens learners list","1. Simulation should be assigned successfully.
2. Learner status should be In Progress.
3. Due in days and progress indicator should be displayed correctly.",Learner who started the simulation but did not complete it before due date was displayed with In Progress status without overdue indication.
HeySales Studio> Elevator pitch Learners view ,TC0063 - Verify Learners list – In Progress (Overdue),porsudar@paperflite.com,Validate overdue label shown for in-progress learners after due date,Manual,Medium,Functional,Due date passed,NA,"1. Assign simulation with due date.
2. Learner starts simulation but does not complete.
3. Due date passes.
4. Admin opens learners list.","1. Simulation should be assigned successfully.
2. Learner status should be In Progress.
3. System should mark assignment as Overdue.
4. Overdue in days hourly icon should appear in learners list.",Learner who started but did not complete the simulation after due date was displayed as In Progress (Overdue) in the learners list.
HeySales Studio> Elevator pitch Learners view ,TC0064 - Verify Learners list – Not Started (Within Due Date),porsudar@paperflite.com,Validate due date displayed for not started learners,Manual,Medium,Functional,Assigned with due date,NA,"1. Assign simulation with due date.
2. Learner does not start simulation.
3. Admin opens learners list","1. Simulation should be assigned successfully.
2. Learner status should be Not Started.
3. Due date metadata should be displayed correctly.",Learner who had not started the simulation before due date appeared with Not Started status in the learners list.
HeySales Studio> Elevator pitch Learners view ,TC0065 - Verify Learners list – Not Started (After Due Date),porsudar@paperflite.com,Validate overdue shown when learner never starts and due date passes,Manual,Medium,Functional,Due date passed,NA,"1. Assign simulation with due date.
2. Learner does not start simulation.
3. Due date passes.
4. Admin opens learners list","1. Simulation should be assigned successfully.
2. Learner status should remain Not Started.
3. Assignment should be marked Overdue.
4. Overdue label should appear in learners list.",Learner who had not started the simulation even after due date appeared with Not Started (Overdue) indication in the learners list.
HeySales Studio> Elevator pitch Learners view ,TC0066 - Verify learners with no due date in learners list,porsudar@paperflite.com,Validate no due date metadata or icon displayed when not assigned,Manual,Medium,Functional,Assigned without due date,NA,"1. Assign Elevator Pitch without due date.
2. Open learners list.","1. Simulation should be assigned successfully.
2. No due date metadata or icon should be displayed",Learners assigned without a due date were displayed in the learners list without due date indicator or overdue status.
HeySales Studio> Elevator pitch Learners view ,TC0067 - Verify learners with due date as Today,porsudar@paperflite.com,Validate “Due Today” label appears correctly,Manual,Medium,Functional,Due date set as current date,NA,"1. Assign simulation with due date set as today.
2. Open learners list.","1. Simulation should be assigned successfully.
2. Learner entry should display “Due Today” label.",Learners assigned with due date set as today were displayed correctly with due date indication and simulation remained accessible until the end of the day.
HeySales Studio> Elevator pitch Learners view ,TC0068 - Verify adding Elevator Pitch simulation inside a course,porsudar@paperflite.com,Validate that admin can add Elevator Pitch simulation to a course during course creation,Manual,High,Functional,1.Elevator Pitch should be published,NA,"1. Login as admin.
2. Navigate to HeySales Studio → Courses.
3. Click Create Course or open an existing course.
4. Add Elevator Pitch simulation as a module in the course structure.
5. Save and publish the course.","1. Admin should login successfully.
2. Courses page should render successfully.
3. Course creation/edit screen should open.
4. Elevator Pitch simulation should be selectable and added to the course structure.
5. Course should be saved and published successfully with the simulation included.",Admin successfully added Elevator Pitch simulation to the course structure. Course was saved and published successfully with the simulation included.
HeySales Studio> Elevator pitch Learners view ,TC0069 - Verify Elevator Pitch simulation inside course and report generation,porsudar@paperflite.com,"Validate that when Elevator Pitch simulation is added inside a course, learners can take the call within the course and reports are generated for both simulation and course",Manual,High,Functional,1.Elevator Pitch should be published,NA,"1. Login as learner.
2. Navigate to My Courses.
3. Open the course that contains Elevator Pitch simulation
4. Click Start Call for the Elevator Pitch simulation inside the course
5. Complete the simulation call
6. Navigate to the Reports / Analytics section.
7.End the course 
","1. Learner should login successfully.
2. My Courses screen should render successfully.
3. Course detail page should open and Elevator Pitch simulation should be visible inside the course structure.
4. Learner should be able to start the call from within the course.
5. Simulation should be completed successfully 
6.Reports should be generated 
7.After ending the course, it should be updated for the course report Analytics","Learner successfully accessed the Elevator Pitch simulation within the course, completed the call, and reports were generated for both the simulation and the course progress."
HeySales Studio> Elevator pitch Learners view ,TC0070 - Verify Elevator Pitch simulation is added in Report and percentage is added there for Learners and Teams,porsudar@paperflite.com,Validate that the Elevator Pitch simulation is reflected in the Main Report and that the percentage score is displayed correctly for both Learners and Teams.,Manual,High,Functional,"1.Elevator Pitch should be published
2.Learner should have completed the call",NA,"1.Login to the application as an Admin.
2.Navigate to the Reports / Main Report section.
3.Ensure that the Elevator Pitch simulation is assigned and completed by learners.
4.Check the report entries for the Elevator Pitch simulation.
5.Verify the percentage score displayed for Learners and Teams.","1.Admin should be logged into the application successfully.
2.Main Report page should be displayed.
3.Completed Elevator Pitch simulation data should be available in the system.
4.Elevator Pitch simulation should be listed in the Main Report.
5.Percentage score should be displayed correctly for both Learners and Teams.",Elevator Pitch simulation is displayed in the Main Report and the percentage score is correctly shown for both Learners and Teams.
